"test","trait","LSD"
"Yield Test 1","Oil.Dry.Basis",0.490974700099914
"Yield Test 1","Protein.Dry.Basis",0.947635070006453
"Yield Test 1","Bulk.Weight",216.438130515618
"Yield Test 1","HT",3.38851190976507
"Yield Test 1","Hundred.Seed.Weight",1.09595263756862
"Yield Test 1","P_O",0.6069920295223
"Yield Test 1","AgScore",1.69899827215083
"Yield Test 1","LDG",2.23301462200696
"Yield Test 2","Oil.Dry.Basis",0.53769489604549
"Yield Test 2","Protein.Dry.Basis",1.10313779370254
"Yield Test 2","Bulk.Weight",251.839660321175
"Yield Test 2","HT",3.53381544401115
"Yield Test 2","Hundred.Seed.Weight",1.12674846116134
"Yield Test 2","P_O",0.721672804416609
"Yield Test 2","AgScore",1.54522466860464
"Yield Test 2","LDG",1.50440892034833
"Yield Test 3","Oil.Dry.Basis",0.627476175724458
"Yield Test 3","Protein.Dry.Basis",1.05666245709813
"Yield Test 3","Bulk.Weight",370.812081205268
"Yield Test 3","HT",3.83222719317212
"Yield Test 3","Hundred.Seed.Weight",1.25355219790505
"Yield Test 3","P_O",0.63515187562276
"Yield Test 3","AgScore",1.1534807081634
"Yield Test 4","Oil.Dry.Basis",0.587774051859552
"Yield Test 4","Protein.Dry.Basis",0.982194450536004
"Yield Test 4","Bulk.Weight",316.822171962937
"Yield Test 4","HT",4.87161283948448
"Yield Test 4","Hundred.Seed.Weight",1.48081681008256
"Yield Test 4","P_O",0.655051122030873
"Yield Test 4","AgScore",0.978146545906191
"Yield Test 4","LDG",1.37641786107265
